Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
24-Jul-14,15471.35,15559.1,15410.2,15534.35,28219094,2103.29
25-Jul-14,15494.85,15571.9,15272.45,15322.25,27779539,2004.06
28-Jul-14,15399.5,15403.9,15162.05,15212.15,22721782,1518.82
30-Jul-14,15256.2,15470.6,15184.65,15452.4,29165299,2114.15
31-Jul-14,15447.9,15499.5,15233,15267.6,39207840,2521.59
01-Aug-14,15137.6,15417.25,15096.1,15127.8,36343480,2552.56
04-Aug-14,15242.25,15326.15,15128.1,15242.35,22936170,1608.97
05-Aug-14,15283.6,15343.5,15105.9,15293.25,27423613,1914.14
06-Aug-14,15209.05,15239.35,14983.5,15008.65,21257923,1447.41
07-Aug-14,15004.85,15135.1,14956.85,14986.85,21979231,1474.36
08-Aug-14,14831.75,14858.95,14709.1,14765.75,27150257,2111.53
11-Aug-14,14858.75,14896.9,14807,14846.8,20923637,1353.04
12-Aug-14,14943.8,15078.1,14850.15,15056.7,19702406,1355.69
13-Aug-14,15007.25,15078.35,14843.8,14910.9,27185856,1891.94
14-Aug-14,14954.2,15144.75,14940.3,15089.65,24745845,1721.61
18-Aug-14,15099.7,15465.05,15068.35,15439.75,28413852,1934.99
19-Aug-14,15507.05,15624.35,15469.85,15524.65,31942362,2176.22
20-Aug-14,15566.75,15566.75,15448.9,15481.7,19905172,1527.02
21-Aug-14,15475.5,15721.95,15462.5,15662.2,34520563,2517.99
22-Aug-14,15699.05,15865.3,15696.3,15819.15,32028572,2380.35
25-Aug-14,15817.55,15973.35,15625.45,15669,22469543,1776.03
26-Aug-14,15530.65,15674.55,15503.4,15624.1,21077883,1476.42
27-Aug-14,15745.6,15758.85,15669.05,15717.65,18352395,1415.7
28-Aug-14,15758.05,15794.6,15688.15,15740.4,27074422,2024.19
01-Sep-14,15790.25,16060.2,15790.25,16012.8,23685389,1701.46
02-Sep-14,16049.75,16170.85,16047.3,16130.55,26315789,1932.56
03-Sep-14,16208.55,16208.55,16048.1,16110,30657042,1996.3
04-Sep-14,16102.9,16114.75,15926.65,16033.55,21703976,1592.89
05-Sep-14,16030.45,16111,15891.75,15982.5,21486911,1577.88
08-Sep-14,16084.2,16222.55,16049.25,16206.7,20521106,1495.61
09-Sep-14,16171.8,16199.1,16085.7,16156.75,17489600,1347.17
10-Sep-14,16173.5,16190.5,16053.9,16151.75,20602012,1644.66
11-Sep-14,16197.3,16309.7,16166.85,16204.15,30041684,1846.93
12-Sep-14,16208,16278.65,16145.7,16254.15,22583271,1553.99
15-Sep-14,16158.65,16239.7,16106.05,16167.55,27061568,1801.37
16-Sep-14,16160.7,16169.6,15814.65,15844.1,28607396,1759.9
17-Sep-14,15926.85,15937.3,15799.7,15838.6,22263757,1561.99
18-Sep-14,15778.75,16173.8,15770.8,16156.85,21551813,1641.85
19-Sep-14,16197.5,16197.5,16064.6,16152.15,23901299,1648.14
22-Sep-14,16052.55,16272.35,16021.15,16194.55,19099454,1412.1
23-Sep-14,16194.4,16240.55,15894.55,15902.85,23894197,1833.52
24-Sep-14,15883.45,15954.45,15625.85,15740.3,26015651,2001.75
25-Sep-14,15690.5,15734.1,15213.35,15299.05,41715540,3148.15
26-Sep-14,15262.9,15666.4,15168.4,15607.25,37253894,2679.3
29-Sep-14,15636.45,15636.45,15420.8,15473.55,20414879,1381.41
30-Sep-14,15441.35,15596.1,15336.7,15392.25,28367263,1913.24
01-Oct-14,15370.7,15377.6,15270.95,15316.2,20668460,1323.06
07-Oct-14,15214.25,15344.6,15157.7,15180.25,20601315,1574.35
08-Oct-14,15130.35,15371.8,15130.35,15344,19840589,1410.06
09-Oct-14,15434.35,15795.65,15434.35,15741.2,27780819,1784.65
10-Oct-14,15603.45,15628.75,15439.35,15453.8,24179823,1362.02
13-Oct-14,15360.7,15705.7,15301.65,15677.5,26082820,1597.67
14-Oct-14,15790.95,15843.7,15560.25,15751.55,32225926,1864.61
16-Oct-14,15690.35,15836.15,15477.05,15541.6,30855086,2004.6
17-Oct-14,15617.35,15973.5,15603.45,15929.8,31311659,1962.83
20-Oct-14,16259.7,16297.25,16157.05,16216.6,32100648,2135.01
21-Oct-14,16281.95,16452.85,16269,16427.25,37131786,2498.99
22-Oct-14,16570.4,16572.5,16365.6,16444.7,22170074,1623.45
23-Oct-14,16508.4,16524.9,16444.05,16470.05,2960759,209.33
27-Oct-14,16538.9,16664.3,16470.85,16556.6,22942944,1637.58
28-Oct-14,16607.5,16702.3,16607.5,16667,18058541,1600.86
29-Oct-14,16770.2,16770.2,16596.25,16634.05,19023898,1619.2
30-Oct-14,16606.5,16776.35,16561.35,16760.05,32012908,2565.48
31-Oct-14,16812.45,17060.15,16783.65,17045.05,30066791,2379.73
03-Nov-14,17087,17168.4,16934.85,17134.1,27947948,1997.6
05-Nov-14,17201.45,17425.2,17157.8,17352.95,26884330,2313.87
07-Nov-14,17366.85,17383.6,17202.2,17347.05,27539546,2078.62
10-Nov-14,17364.65,17412,17203,17262.4,18619468,1436.89
